Episode,Frames,Total Reward,Epsilon,Loss,Max Q-Value,Lives Lost,End Time
858,324,80.0,0.5952853000133246,0.22782906347218854,42.78509,3,2024-07-29 09:29:13
859,539,215.0,0.5948002000133406,0.2458643849130464,48.178875,3,2024-07-29 09:30:08
860,612,215.0,0.5942494000133587,0.23268674236107495,78.453026,3,2024-07-29 09:31:12
861,266,45.0,0.5940100000133666,0.24260264892775313,45.937744,3,2024-07-29 09:31:39
862,605,225.0,0.5934655000133845,0.26480954424901443,58.986057,3,2024-07-29 09:32:40
863,590,210.0,0.592934500013402,0.23442844293885312,53.574554,3,2024-07-29 09:33:40
864,654,445.0,0.5923459000134214,0.25203208073928085,64.52782,3,2024-07-29 09:34:47
865,991,420.0,0.5914540000134507,0.24387356884003167,52.033916,3,2024-07-29 09:36:26
866,546,215.0,0.5909626000134669,0.2323500720900057,64.38785,3,2024-07-29 09:37:22
867,482,210.0,0.5905288000134812,0.24962549245456442,67.98132,3,2024-07-29 09:38:11
868,284,100.0,0.5902732000134896,0.2645209718128325,48.398895,3,2024-07-29 09:38:40
869,661,260.0,0.5896783000135092,0.23019861836837388,55.133175,3,2024-07-29 09:39:47
870,280,100.0,0.5894263000135175,0.24119925179651805,51.41213,3,2024-07-29 09:40:17
871,627,240.0,0.5888620000135361,0.2478830700523355,57.314404,3,2024-07-29 09:41:21
872,275,80.0,0.5886145000135442,0.24503004225817593,48.040657,3,2024-07-29 09:41:49
873,298,90.0,0.588346300013553,0.23454235864165646,45.078407,3,2024-07-29 09:42:19
874,576,210.0,0.5878279000135701,0.2504728266244961,65.22093,3,2024-07-29 09:43:18
875,383,120.0,0.5874832000135815,0.23815564005866685,41.94776,3,2024-07-29 09:43:57
876,546,210.0,0.5869918000135976,0.23479435863075676,51.294086,3,2024-07-29 09:44:53
877,465,150.0,0.5865733000136114,0.23214645055673455,50.8777,3,2024-07-29 09:45:39
878,669,495.0,0.5859712000136312,0.22216439360727644,57.400585,3,2024-07-29 09:46:47
879,273,100.0,0.5857255000136393,0.27139538199036983,53.22675,3,2024-07-29 09:47:14
880,477,240.0,0.5852962000136535,0.25947674040524465,50.217274,3,2024-07-29 09:48:02
881,630,265.0,0.5847292000136721,0.2478413442061061,52.7758,3,2024-07-29 09:49:06
882,465,150.0,0.5843107000136859,0.27536000808080036,49.650524,3,2024-07-29 09:49:54
883,260,15.0,0.5840767000136936,0.26776511141887077,55.506886,3,2024-07-29 09:50:20
884,613,240.0,0.5835250000137118,0.27013572493832416,57.953075,3,2024-07-29 09:51:22
885,503,210.0,0.5830723000137267,0.2447544125391996,60.44187,3,2024-07-29 09:52:13
886,573,240.0,0.5825566000137437,0.26044477249315273,68.48582,3,2024-07-29 09:53:12
887,631,210.0,0.5819887000137624,0.23783434844810497,58.40692,3,2024-07-29 09:54:15
888,615,215.0,0.5814352000137806,0.23732863306030025,61.56232,3,2024-07-29 09:55:18
889,497,110.0,0.5809879000137953,0.23940778501196885,52.861576,3,2024-07-29 09:56:08
890,476,165.0,0.5805595000138094,0.25684711368394497,59.093025,3,2024-07-29 09:56:58
891,563,210.0,0.5800528000138261,0.26937086459374976,57.573883,3,2024-07-29 09:57:56
892,289,135.0,0.5797927000138346,0.2342956777674929,50.74485,3,2024-07-29 09:58:26
893,550,185.0,0.579297700013851,0.24381138305772435,51.165825,3,2024-07-29 09:59:20
894,512,175.0,0.5788369000138661,0.2535532549372874,63.04164,3,2024-07-29 10:00:12
895,508,210.0,0.5783797000138812,0.23098949005636643,56.82811,3,2024-07-29 10:01:05
896,819,360.0,0.5776426000139054,0.2282087196651687,55.436638,3,2024-07-29 10:02:28
897,654,295.0,0.5770540000139248,0.2553326997917362,54.375957,3,2024-07-29 10:03:36
898,665,285.0,0.5764555000139445,0.2614544928746116,54.991016,3,2024-07-29 10:04:43
899,331,120.0,0.5761576000139543,0.26283106766078407,51.610504,3,2024-07-29 10:05:17
900,723,260.0,0.5755069000139758,0.28531113100002414,66.27269,3,2024-07-29 10:06:32
901,554,215.0,0.5750083000139922,0.2847819135453727,48.2032,3,2024-07-29 10:07:30
902,480,155.0,0.5745763000140064,0.27012569090972344,61.055325,3,2024-07-29 10:08:20
903,388,180.0,0.5742271000140179,0.2601255517952221,59.80273,3,2024-07-29 10:08:59
904,682,260.0,0.5736133000140381,0.24560803786750413,57.28402,3,2024-07-29 10:10:09
905,481,155.0,0.5731804000140523,0.2331032326712182,52.97854,3,2024-07-29 10:10:59
906,677,240.0,0.5725711000140724,0.26949397957659543,59.912067,3,2024-07-29 10:12:08
907,651,435.0,0.5719852000140917,0.26567179234712723,58.07036,3,2024-07-29 10:13:15
908,738,280.0,0.5713210000141136,0.25903199021489964,63.00976,3,2024-07-29 10:14:30
909,436,155.0,0.5709286000141265,0.25342311798979383,57.337154,3,2024-07-29 10:15:15
910,559,190.0,0.570425500014143,0.22805663500787535,52.636356,3,2024-07-29 10:16:11
911,756,520.0,0.5697451000141655,0.23764564644880395,59.727062,3,2024-07-29 10:17:27
912,598,225.0,0.5692069000141832,0.2599445611338153,49.606716,3,2024-07-29 10:18:29
913,586,225.0,0.5686795000142005,0.24022146611897205,59.069225,3,2024-07-29 10:19:29
914,479,155.0,0.5682484000142147,0.25002743393991583,63.641476,3,2024-07-29 10:20:17
915,419,155.0,0.5678713000142271,0.2351818416881106,56.560524,3,2024-07-29 10:21:00
916,287,80.0,0.5676130000142356,0.2743560276172718,67.30124,3,2024-07-29 10:21:30
917,431,140.0,0.5672251000142484,0.26005604510517516,52.524433,3,2024-07-29 10:22:14
918,563,210.0,0.5667184000142651,0.2748521281601481,55.925663,3,2024-07-29 10:23:11
919,585,225.0,0.5661919000142824,0.275474165010656,66.68844,3,2024-07-29 10:24:10
920,623,260.0,0.5656312000143009,0.25783431675901,51.95987,3,2024-07-29 10:25:14
921,603,425.0,0.5650885000143188,0.23604868399365428,63.402786,3,2024-07-29 10:26:18
922,435,180.0,0.5646970000143317,0.2519654202735287,65.633965,3,2024-07-29 10:27:02
923,378,105.0,0.5643568000143429,0.24198749614140344,56.997826,3,2024-07-29 10:27:42
924,502,210.0,0.5639050000143577,0.27809202872899424,58.14354,3,2024-07-29 10:28:33
925,748,290.0,0.5632318000143799,0.23908500951082312,62.458786,3,2024-07-29 10:29:50
926,582,225.0,0.5627080000143971,0.2499808385660968,52.316235,3,2024-07-29 10:30:50
927,514,180.0,0.5622454000144124,0.2633959970469605,60.130836,3,2024-07-29 10:31:42
928,569,210.0,0.5617333000144292,0.23897470130547488,54.16684,3,2024-07-29 10:32:39
929,573,215.0,0.5612176000144462,0.2335857485289349,53.20838,3,2024-07-29 10:33:37
930,389,180.0,0.5608675000144577,0.2275156140480679,63.818535,3,2024-07-29 10:34:17
931,524,210.0,0.5603959000144733,0.26034182548977947,56.216682,3,2024-07-29 10:35:12
932,674,300.0,0.5597893000144932,0.27375610676823453,69.4847,3,2024-07-29 10:36:21
933,1133,590.0,0.5587696000145268,0.25509018131382993,65.50053,3,2024-07-29 10:38:25
934,510,210.0,0.5583106000145419,0.24769860576180852,68.77511,3,2024-07-29 10:39:18
935,643,245.0,0.557731900014561,0.24759667316918055,72.79929,3,2024-07-29 10:40:25
936,461,210.0,0.5573170000145746,0.2508650897899057,62.154774,3,2024-07-29 10:41:13
937,579,260.0,0.5567959000145918,0.25525764004039436,64.028915,3,2024-07-29 10:42:14
938,502,210.0,0.5563441000146067,0.2793598685012871,53.000027,3,2024-07-29 10:43:06
939,597,260.0,0.5558068000146243,0.2536275981359146,75.93668,3,2024-07-29 10:44:09
940,454,155.0,0.5553982000146378,0.25596413239508475,52.406372,3,2024-07-29 10:44:56
941,661,415.0,0.5548033000146574,0.27647372151467153,64.30234,3,2024-07-29 10:46:04
942,515,210.0,0.5543398000146726,0.25777244729903137,51.770927,3,2024-07-29 10:46:59
943,568,210.0,0.5538286000146895,0.2704482287903067,78.7737,3,2024-07-29 10:47:59
944,566,240.0,0.5533192000147062,0.24179123958092275,61.281147,3,2024-07-29 10:48:59
945,404,150.0,0.5529556000147182,0.2754378028877891,52.497513,3,2024-07-29 10:49:41
946,534,175.0,0.552475000014734,0.2507805565881372,57.540455,3,2024-07-29 10:50:36
947,498,210.0,0.5520268000147488,0.2540648249258478,59.68987,3,2024-07-29 10:51:28
948,468,150.0,0.5516056000147627,0.27638580828395665,56.870808,3,2024-07-29 10:52:17
949,723,260.0,0.5509549000147841,0.23603940420213412,61.696625,3,2024-07-29 10:53:33
950,508,210.0,0.5504977000147991,0.23675198354354993,65.89179,3,2024-07-29 10:54:26
951,621,240.0,0.5499388000148175,0.26950303507119944,64.1584,3,2024-07-29 10:55:31
952,438,210.0,0.5495446000148305,0.2609938704259864,54.67026,3,2024-07-29 10:56:17
953,463,140.0,0.5491279000148442,0.30350012713580615,53.329548,3,2024-07-29 10:57:06
954,658,270.0,0.5485357000148637,0.25254207747594926,52.231915,3,2024-07-29 10:58:16
955,790,520.0,0.5478247000148871,0.26998829852931105,68.96474,3,2024-07-29 10:59:38
956,495,180.0,0.5473792000149018,0.26564423971705964,64.84307,3,2024-07-29 11:00:30
957,562,210.0,0.5468734000149185,0.27170977744131325,65.27108,3,2024-07-29 11:01:28
958,401,120.0,0.5465125000149303,0.23719694288888774,58.445816,3,2024-07-29 11:02:10
959,377,125.0,0.5461732000149415,0.2577321313578507,60.323185,3,2024-07-29 11:02:49
960,469,185.0,0.5457511000149554,0.25179877756501057,72.787254,3,2024-07-29 11:03:39
961,375,110.0,0.5454136000149665,0.24448447489738465,56.535366,3,2024-07-29 11:04:18
962,640,300.0,0.5448376000149855,0.2722881761845201,56.551933,3,2024-07-29 11:05:25
963,999,575.0,0.5439385000150151,0.2500476059433934,62.114143,3,2024-07-29 11:07:08
964,561,210.0,0.5434336000150317,0.2651977032263649,75.663506,3,2024-07-29 11:08:07
965,471,155.0,0.5430097000150457,0.23948488734077242,59.417355,3,2024-07-29 11:08:56
966,391,120.0,0.5426578000150573,0.25153938842856366,50.583073,3,2024-07-29 11:09:36
967,566,215.0,0.542148400015074,0.2788874966622241,61.2197,3,2024-07-29 11:10:35
968,690,275.0,0.5415274000150945,0.23863459179798763,63.43282,3,2024-07-29 11:11:47
969,387,180.0,0.5411791000151059,0.2536930087616893,69.977005,3,2024-07-29 11:12:27
970,657,260.0,0.5405878000151254,0.2710061470213909,75.5249,3,2024-07-29 11:13:36
971,693,330.0,0.5399641000151459,0.26687506267002653,71.30391,3,2024-07-29 11:14:48
972,577,210.0,0.539444800015163,0.2563185324082135,70.729195,3,2024-07-29 11:15:48
973,602,240.0,0.5389030000151809,0.2612663649047332,65.33502,3,2024-07-29 11:16:51
974,1066,390.0,0.5379436000152125,0.2597310127756833,69.11407,3,2024-07-29 11:18:41
975,676,285.0,0.5373352000152325,0.26626575557437876,74.085396,3,2024-07-29 11:19:53
976,431,135.0,0.5369473000152453,0.259834630721683,57.456043,3,2024-07-29 11:20:37
977,679,285.0,0.5363362000152654,0.2752249204006392,67.85186,3,2024-07-29 11:21:48
978,778,325.0,0.5356360000152884,0.2500466827331901,72.9552,3,2024-07-29 11:23:11
979,507,180.0,0.5351797000153035,0.25969942707634536,56.888878,3,2024-07-29 11:24:03
980,482,120.0,0.5347459000153177,0.28848381457981725,60.313606,3,2024-07-29 11:24:55
981,449,160.0,0.534341800015331,0.23508077272460828,55.030197,3,2024-07-29 11:25:41
982,574,225.0,0.5338252000153481,0.25528455465928185,56.81489,3,2024-07-29 11:26:40
983,519,210.0,0.5333581000153634,0.2435849293463492,58.741947,3,2024-07-29 11:27:34
984,599,410.0,0.5328190000153812,0.2579633733864022,56.39822,3,2024-07-29 11:28:37
985,662,215.0,0.5322232000154008,0.267526919770637,61.29654,3,2024-07-29 11:29:47
986,446,180.0,0.531821800015414,0.27622654018380716,58.96471,3,2024-07-29 11:30:32
987,729,335.0,0.5311657000154356,0.280259437807957,66.23487,3,2024-07-29 11:31:48
988,607,450.0,0.5306194000154536,0.27149865266911477,75.02717,3,2024-07-29 11:32:53
989,669,445.0,0.5300173000154734,0.2501299067641231,66.17384,3,2024-07-29 11:34:04
990,582,230.0,0.5294935000154907,0.2791353475904137,56.608433,3,2024-07-29 11:35:05
991,595,215.0,0.5289580000155083,0.3045585577477928,79.75736,3,2024-07-29 11:36:08
992,583,260.0,0.5284333000155256,0.2660984449586983,57.71806,3,2024-07-29 11:37:09
993,376,180.0,0.5280949000155367,0.25318104757907545,72.88679,3,2024-07-29 11:37:49
994,594,410.0,0.5275603000155543,0.31292326923974034,57.14361,3,2024-07-29 11:38:52
995,598,245.0,0.527022100015572,0.2512080021028136,74.058174,3,2024-07-29 11:39:54
996,437,135.0,0.526628800015585,0.2556800973224422,67.91115,3,2024-07-29 11:40:40
997,630,215.0,0.5260618000156037,0.253305116721562,57.895622,3,2024-07-29 11:41:46
998,797,540.0,0.5253445000156273,0.27543257290925105,71.497986,3,2024-07-29 11:43:11
999,683,290.0,0.5247298000156475,0.2624189893375553,66.97005,3,2024-07-29 11:44:21
1000,441,165.0,0.5243329000156606,0.26114221836298773,63.64097,3,2024-07-29 11:45:08
1001,388,110.0,0.5239837000156721,0.27109252046985727,58.104748,3,2024-07-29 11:45:49
1002,471,160.0,0.523559800015686,0.2511963498820165,63.850178,3,2024-07-29 11:46:38
1003,465,155.0,0.5231413000156998,0.2613385478014587,57.95941,3,2024-07-29 11:47:27
1004,632,240.0,0.5225725000157185,0.23886007046963595,72.03637,3,2024-07-29 11:48:32
1005,1005,560.0,0.5216680000157483,0.2665826244363144,63.05941,3,2024-07-29 11:50:16
1006,638,240.0,0.5210938000157672,0.25752711665107164,63.297207,3,2024-07-29 11:51:22
1007,1031,365.0,0.5201659000157978,0.248459268451662,68.21007,3,2024-07-29 11:53:12
1008,473,180.0,0.5197402000158118,0.2640379739110112,70.07012,3,2024-07-29 11:54:01
1009,482,210.0,0.5193064000158261,0.2598465429425734,71.332596,3,2024-07-29 11:54:52
1010,451,180.0,0.5189005000158394,0.25944116691792357,72.583015,3,2024-07-29 11:55:39
1011,659,515.0,0.518307400015859,0.253735929049201,60.347675,3,2024-07-29 11:56:49
1012,473,135.0,0.517881700015873,0.22458419796024265,60.148563,3,2024-07-29 11:57:40
1013,768,365.0,0.5171905000158957,0.2362146625140061,78.289215,3,2024-07-29 11:59:00
1014,704,230.0,0.5165569000159166,0.261811800301075,75.232216,3,2024-07-29 12:00:14
1015,465,160.0,0.5161384000159304,0.23756583397106457,57.09174,3,2024-07-29 12:01:03
1016,518,195.0,0.5156722000159457,0.24518318646893078,66.4307,3,2024-07-29 12:01:58
1017,513,210.0,0.5152105000159609,0.2589466762356823,64.07088,3,2024-07-29 12:02:53
1018,645,255.0,0.51463000001598,0.24934169151062188,80.81642,3,2024-07-29 12:04:01
1019,466,105.0,0.5142106000159938,0.25189520693643924,56.237366,3,2024-07-29 12:04:49
1020,475,210.0,0.5137831000160079,0.25902948410887466,61.207924,3,2024-07-29 12:05:39
1021,433,135.0,0.5133934000160207,0.27146371648438256,60.017223,3,2024-07-29 12:06:24
1022,487,135.0,0.5129551000160352,0.2612991896620521,61.64471,3,2024-07-29 12:07:15
1023,494,210.0,0.5125105000160498,0.2590321117808462,61.968037,3,2024-07-29 12:08:06
1024,521,210.0,0.5120416000160652,0.25808686527089286,73.30522,3,2024-07-29 12:09:01
1025,1124,705.0,0.5110300000160986,0.2584043407143223,61.19692,3,2024-07-29 12:10:58
1026,598,240.0,0.5104918000161163,0.2534209320876112,55.72971,3,2024-07-29 12:12:00
